"id","tot_orders","avg_items","avg_price","tot_cat","first_pur","last_pur","slstyr","slslyr","sls2ago","slsbfr","ordtyr","ordlyr","ord2ago","ordbfr","cat99","pur_time_avg","activity","last_ord_wt","tot_price","tot_qty","logtarg"
2062,16,10.0625,67.4129667277813,16,14166,16264,133.4385623923,458.7515354134,0,486.4173698388,22,76,0,63,1,131.125,0.991025035427492,828.3997173294,1078.6074676445,161,0
2232,40,2.25,36.3461274623225,15,13841,16141,13.8999958038,182.7999591814,112.8999691,1144.2451744077,2,12,13,63,0,57.5,0.941850941850942,560.8998374952,1453.8450984929,90,0
2623,5,3,28.83190917942,9,13905,15938,0,36.8999862667,29.8499908442,77.4095687862,0,4,3,8,0,406.6,0.854920100925147,2259.7497367995,144.1595458971,15,0
3000,13,1.69230769230769,19.8958301542846,7,13823,15903,0,18.849992752,0,239.7957992537,0,3,0,19,0,160,0.845528455284553,7162.99724576,258.6457920057,22,0
4693,9,2.11111111111111,13.0513237847333,10,13904,16000,0,16.3999938964,10.000862122,91.0610580442,0,5,1,13,0,232.888888888889,0.881042454812947,4641.1982726812,117.4619140626,19,0
5010,15,2.26666666666667,14.96039606716,10,14044,15131,0,0,0,224.4059410074,0,0,0,34,0,72.4666666666667,0.485484591335418,29332.6040034432,224.4059410074,34,0
5533,5,1.6,15.04731826772,3,13829,14663,0,0,0,75.2365913386,0,0,0,8,1,166.8,0.339853300733496,8282.928543156,75.2365913386,8,0
6130,8,2.75,26.57230138765,11,14269,16011,0,20.8499908446,54.5999832148,137.1284370418,0,4,6,12,0,217.75,0.864945382323734,5671.1975097312,212.5784111012,22,0
6653,35,2.2,20.2255439758,18,13893,16148,39.7999916076,89.5299739827,73.0499744408,505.5140991219,5,12,10,50,0,64.4285714285714,0.943514644351464,3503.249588007,707.894039153,77,0
6831,4,6.25,33.180152892875,10,15258,15957,0,72.9499816892,32.7999877928,26.9706420895,0,16,5,4,0,174.75,0.681951219512195,13936.4962691256,132.7206115715,25,0
7161,24,1.5,17.8641797699292,15,13827,16225,77.1499786366,82.4999732964,103.1506195059,165.9397430394,7,9,7,13,0,99.9166666666667,0.976384364820847,748.199645968,428.7403144783,36,0
7315,13,1.61538461538462,19.4723490199462,4,13935,15039,0,0,0,253.1405372593,0,0,0,21,0,84.9230769230769,0.470187393526405,28463.105712152,253.1405372593,21,0
7897,3,1.66666666666667,11.0439008075333,4,13904,14716,0,0,0,33.1317024226,0,0,0,5,1,270.666666666667,0.341319882303489,15983.825606602,33.1317024226,5,0
9270,6,2.83333333333333,20.01926708215,10,14164,15437,0,0,41.2999897,78.8156127929,0,0,6,11,1,212.166666666667,0.600755073147711,34939.7912862,120.1156024929,17,0
9539,1,1,10.174705505,1,14065,14065,0,0,0,10.174705505,0,0,0,1,0,0,0,22567.49681009,10.174705505,1,0
11282,2,1.5,13.9710483548,2,14480,14865,0,0,0,27.9420967096,0,0,0,3,0,192.5,0.213533000554631,32444.279662244,27.9420967096,3,3.3621082306
12955,26,1.42307692307692,14.9248152511846,11,13855,16277,27.8499946592,62.6999816891,65.649978637,231.8452415455,2,6,8,21,0,93.1538461538462,0.997528830313015,47.3999862672,388.0451965308,37,0
14010,4,2.5,21.609992503925,4,16013,16237,68.5399761195,17.8999938962,0,0,8,2,0,0,0,56,0.82962962962963,1281.0995788424,86.4399700157,10,0
14508,5,3.6,28.806175995,11,14039,14859,0,0,0,144.030879975,0,0,0,18,0,164,0.36541889483066,32654.3629151136,144.030879975,18,0
15253,28,2.78571428571429,26.6323369570143,13,13918,16277,22.288602829,74.4485816953,242.3890686016,406.5791816705,5,11,27,35,0,84.25,0.997463002114165,59.3399848938,745.7054347964,78,0
16276,2,1.5,16.23172569295,2,15213,15495,0,0,6.9499969482,25.5134544377,0,0,1,2,0,141,0.263551401869159,5476.5975951816,32.4634513859,3,0
17221,4,2,26.3698673249,8,13988,14615,0,0,0,105.4794692996,0,0,0,8,0,156.75,0.273202614379085,71510.1551518728,105.4794692996,8,0
17507,9,2.33333333333333,19.0208216772222,11,14220,16130,19.799993515,29.6999816894,0,121.6874198906,4,3,0,14,0,212.222222222222,0.925836160930683,3029.399007795,171.187395095,21,0
17639,4,3.75,49.3338775631,6,13912,16119,33.8499908444,0,0,163.485519408,3,0,0,12,0,551.75,0.930830873049346,5551.3984984816,197.3355102524,15,0
20567,8,5.875,62.358293771075,8,14740,16133,50.699981689,139.339967727,161.5999450666,147.226455686,6,15,15,11,0,174.125,0.902786779001944,7604.99725335,498.8663501686,47,0
21814,1,1,49.799987793,1,15608,15608,0,0,49.799987793,0,0,0,1,0,0,0,0,33614.991760275,49.799987793,1,0
22438,3,1.33333333333333,17.1708806357667,3,14403,15193,0,0,0,51.5126419073,0,0,0,4,0,263.333333333333,0.420212765957447,21121.972466081,51.5126419073,4,0
22454,18,1.55555555555556,19.9028941259222,7,13918,15887,0,17.8999938964,19.8999938964,320.4521064738,0,2,2,24,0,109.388888888889,0.832558139534884,3148.1987914872,358.2520942666,28,0
23205,9,2.88888888888889,22.8547405664889,8,13829,15115,0,0,0,205.6926650984,0,0,0,26,0,142.888888888889,0.524042379788101,43445.4839462752,205.6926650984,26,3.0349521637
25038,9,1,8.3825437756,5,14178,16264,0,16.8999938964,0,58.542900084,1,3,0,5,1,231.777777777778,0.990973871733967,0,75.4428939804,9,0
