"","id","tot_orders","avg_items","avg_price","tot_cat","first_pur","last_pur","pur_time_avg","activity","last_ord_wt","tot_price","tot_qty","logtarg"
"1",2062,16,9.9375,67.4129667277813,14,14166,16264,131.125,0.991025035427492,828.3997173294,1078.6074676445,159,0
"2",2232,40,2.25,36.0911206721725,15,13841,16141,57.5,0.941850941850942,560.8998374952,1443.6448268869,90,0
"3",2623,5,2.8,28.83190917942,8,13905,15938,406.6,0.854920100925147,2259.7497367995,144.1595458971,14,0
"4",3000,13,1.69230769230769,19.8958301542846,7,13823,15903,160,0.845528455284553,7162.99724576,258.6457920057,22,0
"5",4693,9,2,13.0513237847333,9,13904,16000,232.888888888889,0.881042454812947,4641.1982726812,117.4619140626,18,0
"6",5010,15,2.26666666666667,14.07926991766,10,14044,15131,72.4666666666667,0.485484591335418,23471.9736323328,211.1890487649,34,0
"7",5533,5,1.4,15.04731826772,3,13829,14663,166.8,0.339853300733496,8282.928543156,75.2365913386,7,0
"8",6130,8,2.625,26.57230138765,11,14269,16011,217.75,0.864945382323734,5671.1975097312,212.5784111012,21,0
"9",6653,35,2.17142857142857,18.4465703691514,18,13893,16148,64.4285714285714,0.943514644351464,3503.249588007,645.6299629203,76,0
"10",6831,4,6.25,32.69265294055,10,15258,15957,174.75,0.681951219512195,13936.4962691256,130.7706117622,25,0
"11",7161,24,1.45833333333333,17.8641797699292,15,13827,16225,99.9166666666667,0.976384364820847,748.199645968,428.7403144783,35,0
"12",7315,13,1.61538461538462,19.4723490199462,4,13935,15039,84.9230769230769,0.470187393526405,28463.105712152,253.1405372593,21,0
"13",7897,3,1.33333333333333,11.0439008075333,3,13904,14716,270.666666666667,0.341319882303489,15983.825606602,33.1317024226,4,0
"14",9270,6,2.66666666666667,20.01926708215,9,14164,15437,212.166666666667,0.600755073147711,34939.7912862,120.1156024929,16,0
"15",9539,1,1,10.174705505,1,14065,14065,0,0,22567.49681009,10.174705505,1,0
"16",11282,2,1.5,13.9710483548,2,14480,14865,192.5,0.213533000554631,32444.279662244,27.9420967096,3,3.3621082306
"17",12955,26,1.38461538461538,14.9248152511846,11,13855,16277,93.1538461538462,0.997528830313015,47.3999862672,388.0451965308,36,0
"18",14010,4,2.5,21.609992503925,4,16013,16237,56,0.82962962962963,1281.0995788424,86.4399700157,10,0
"19",14508,5,3.6,25.74865112316,11,14039,14859,164,0.36541889483066,25409.9725952688,128.7432556158,18,0
"20",15253,28,2.75,23.8074500900321,12,13918,16277,84.25,0.997463002114165,59.3399848938,666.6086025209,77,0
"21",16276,2,1.5,16.23172569295,2,15213,15495,141,0.263551401869159,5476.5975951816,32.4634513859,3,0
"22",17221,4,2,26.3698673249,8,13988,14615,156.75,0.273202614379085,71510.1551518728,105.4794692996,8,0
"23",17507,9,2.33333333333333,19.0208216772222,11,14220,16130,212.222222222222,0.925836160930683,3029.399007795,171.187395095,21,0
"24",17639,4,3.75,49.3338775631,6,13912,16119,551.75,0.930830873049346,5551.3984984816,197.3355102524,15,0
"25",20567,8,5.875,62.358293771075,8,14740,16133,174.125,0.902786779001944,7604.99725335,498.8663501686,47,0
"26",21814,1,1,49.799987793,1,15608,15608,0,0,33614.991760275,49.799987793,1,0
"27",22438,3,1.33333333333333,17.1708806357667,3,14403,15193,263.333333333333,0.420212765957447,21121.972466081,51.5126419073,4,0
"28",22454,18,1.55555555555556,19.9028941259222,7,13918,15887,109.388888888889,0.832558139534884,3148.1987914872,358.2520942666,28,0
"29",23205,9,2.88888888888889,22.4030994837222,8,13829,15115,142.888888888889,0.524042379788101,43445.4839462752,201.6278953535,26,3.0349521637
"30",25038,7,1,10.7775562829143,4,14178,15908,247.142857142857,0.821852731591449,3731.248855575,75.4428939804,7,0
"31",26417,15,2.2,25.6291263579467,11,14270,16081,120.733333333333,0.899652260307998,2009.8993835364,384.4368953692,33,0
